PULSE,PRISM,ORBIT
PRISM,BEACON,NOVA
ORBIT,PULSE,CROWN
BEACON,ORBIT,PULSE
NOVA,PRISM,BEACON
CROWN,NOVA,PRISM
CORE,PULSE,ORBIT
PULSE,BEACON,NOVA
PRISM,ORBIT,CROWN
ORBIT,NOVA,PULSE
BEACON,PRISM,CORE
NOVA,CROWN,BEACON
PORTAL,PULSE,PRISM
PULSE,PORTAL,ORBIT
PRISM,BEACON,PORTAL
ORBIT,PULSE,NOVA
BEACON,ORBIT,CROWN
NOVA,PRISM,PULSE
CROWN,BEACON,ORBIT
CORE,NOVA,PRISM
PULSE,CROWN,BEACON
PRISM,PULSE,NOVA
ORBIT,CORE,CROWN
BEACON,PRISM,PULSE
NOVA,ORBIT,CORE
CROWN,NOVA,BEACON
PULSE,PRISM,PORTAL
PRISM,ORBIT,PULSE
ORBIT,BEACON,NOVA
BEACON,PULSE,CROWN
