EMBER,CRYSTAL,POTION,SCROLL,EMBER
CRYSTAL,POTION,SCROLL,EMBER,CRYSTAL
POTION,SCROLL,EMBER,CRYSTAL,POTION
SCROLL,EMBER,CRYSTAL,POTION,SCROLL
EMBER,GRIMOIRE,POTION,STAFF,EMBER
GRIMOIRE,POTION,STAFF,EMBER,GRIMOIRE
POTION,STAFF,EMBER,GRIMOIRE,POTION
STAFF,EMBER,GRIMOIRE,POTION,STAFF
CRYSTAL,SCROLL,POTION,EMBER,CRYSTAL
SCROLL,POTION,EMBER,CRYSTAL,SCROLL
POTION,EMBER,CRYSTAL,SCROLL,POTION
EMBER,CRYSTAL,SCROLL,POTION,EMBER
CROWN,EMBER,GRIMOIRE,CRYSTAL,STAFF
EMBER,GRIMOIRE,CRYSTAL,STAFF,EMBER
GRIMOIRE,CRYSTAL,STAFF,EMBER,GRIMOIRE
CRYSTAL,STAFF,EMBER,GRIMOIRE,CRYSTAL
POTION,SCROLL,EMBER,CRYSTAL,POTION
SCROLL,EMBER,CRYSTAL,POTION,SCROLL
EMBER,CRYSTAL,POTION,SCROLL,EMBER
CRYSTAL,POTION,SCROLL,EMBER,CRYSTAL
WIZARD,EMBER,SCROLL,POTION,DRAGON
EMBER,SCROLL,POTION,DRAGON,EMBER
SCROLL,POTION,DRAGON,EMBER,SCROLL
POTION,DRAGON,EMBER,SCROLL,POTION
RUNE,CRYSTAL,GRIMOIRE,EMBER,RUNE
CRYSTAL,GRIMOIRE,EMBER,RUNE,CRYSTAL
GRIMOIRE,EMBER,RUNE,CRYSTAL,GRIMOIRE
EMBER,RUNE,CRYSTAL,GRIMOIRE,EMBER
STAFF,POTION,SCROLL,CRYSTAL,CROWN
POTION,SCROLL,CRYSTAL,CROWN,POTION
SCROLL,CRYSTAL,CROWN,POTION,SCROLL
CRYSTAL,CROWN,POTION,SCROLL,CRYSTAL
EMBER,CRYSTAL,POTION,SCROLL,EMBER
CRYSTAL,POTION,SCROLL,EMBER,CRYSTAL
POTION,SCROLL,EMBER,CRYSTAL,POTION
SCROLL,EMBER,CRYSTAL,POTION,SCROLL
DRAGON,GRIMOIRE,EMBER,WIZARD,STAFF
GRIMOIRE,EMBER,WIZARD,STAFF,GRIMOIRE
EMBER,WIZARD,STAFF,GRIMOIRE,EMBER
WIZARD,STAFF,GRIMOIRE,EMBER,WIZARD
