RUNE,CRYSTAL,POTION,SCROLL,RUNE
CRYSTAL,POTION,SCROLL,RUNE,CRYSTAL
POTION,SCROLL,RUNE,CRYSTAL,POTION
SCROLL,RUNE,CRYSTAL,POTION,SCROLL
EMBER,GRIMOIRE,POTION,STAFF,EMBER
GRIMOIRE,POTION,STAFF,EMBER,GRIMOIRE
POTION,STAFF,EMBER,GRIMOIRE,POTION
STAFF,EMBER,GRIMOIRE,POTION,STAFF
RUNE,SCROLL,POTION,EMBER,RUNE
SCROLL,POTION,EMBER,RUNE,SCROLL
POTION,EMBER,RUNE,SCROLL,POTION
EMBER,RUNE,SCROLL,POTION,EMBER
CROWN,EMBER,GRIMOIRE,CRYSTAL,STAFF
EMBER,GRIMOIRE,CRYSTAL,STAFF,EMBER
GRIMOIRE,CRYSTAL,STAFF,EMBER,GRIMOIRE
CRYSTAL,STAFF,EMBER,GRIMOIRE,CRYSTAL
RUNE,SCROLL,EMBER,CRYSTAL,RUNE
SCROLL,EMBER,CRYSTAL,RUNE,SCROLL
EMBER,CRYSTAL,RUNE,SCROLL,EMBER
CRYSTAL,RUNE,SCROLL,EMBER,CRYSTAL
WIZARD,EMBER,SCROLL,POTION,DRAGON
EMBER,SCROLL,POTION,DRAGON,EMBER
SCROLL,POTION,DRAGON,EMBER,SCROLL
POTION,DRAGON,EMBER,SCROLL,POTION
RUNE,CRYSTAL,GRIMOIRE,EMBER,RUNE
CRYSTAL,GRIMOIRE,EMBER,RUNE,CRYSTAL
GRIMOIRE,EMBER,RUNE,CRYSTAL,GRIMOIRE
EMBER,RUNE,CRYSTAL,GRIMOIRE,EMBER
STAFF,POTION,SCROLL,CRYSTAL,CROWN
POTION,SCROLL,CRYSTAL,CROWN,POTION
SCROLL,CRYSTAL,CROWN,POTION,SCROLL
CRYSTAL,CROWN,POTION,SCROLL,CRYSTAL
RUNE,CRYSTAL,POTION,SCROLL,RUNE
CRYSTAL,POTION,SCROLL,RUNE,CRYSTAL
POTION,SCROLL,RUNE,CRYSTAL,POTION
SCROLL,RUNE,CRYSTAL,POTION,SCROLL
DRAGON,GRIMOIRE,RUNE,WIZARD,STAFF
GRIMOIRE,RUNE,WIZARD,STAFF,GRIMOIRE
RUNE,WIZARD,STAFF,GRIMOIRE,RUNE
WIZARD,STAFF,GRIMOIRE,RUNE,WIZARD
