EMBER,CRYSTAL,POTION,SCROLL,EMBER
CRYSTAL,POTION,SCROLL,EMBER,CRYSTAL
POTION,SCROLL,EMBER,CRYSTAL,POTION
SCROLL,EMBER,CRYSTAL,POTION,SCROLL
RUNE,GRIMOIRE,POTION,STAFF,RUNE
GRIMOIRE,POTION,STAFF,RUNE,GRIMOIRE
POTION,STAFF,RUNE,GRIMOIRE,POTION
STAFF,RUNE,GRIMOIRE,POTION,STAFF
CRYSTAL,SCROLL,POTION,EMBER,CRYSTAL
SCROLL,POTION,EMBER,CRYSTAL,SCROLL
POTION,EMBER,CRYSTAL,SCROLL,POTION
EMBER,CRYSTAL,SCROLL,POTION,EMBER
CROWN,EMBER,GRIMOIRE,CRYSTAL,STAFF
EMBER,GRIMOIRE,CRYSTAL,STAFF,EMBER
GRIMOIRE,CRYSTAL,STAFF,EMBER,GRIMOIRE
CRYSTAL,STAFF,EMBER,GRIMOIRE,CRYSTAL
RUNE,SCROLL,EMBER,CRYSTAL,RUNE
SCROLL,EMBER,CRYSTAL,RUNE,SCROLL
EMBER,CRYSTAL,RUNE,SCROLL,EMBER
CRYSTAL,RUNE,SCROLL,EMBER,CRYSTAL
WIZARD,EMBER,SCROLL,POTION,DRAGON
EMBER,SCROLL,POTION,DRAGON,EMBER
SCROLL,POTION,DRAGON,EMBER,SCROLL
POTION,DRAGON,EMBER,SCROLL,POTION
RUNE,CRYSTAL,GRIMOIRE,EMBER,RUNE
CRYSTAL,GRIMOIRE,EMBER,RUNE,CRYSTAL
GRIMOIRE,EMBER,RUNE,CRYSTAL,GRIMOIRE
EMBER,RUNE,CRYSTAL,GRIMOIRE,EMBER
STAFF,POTION,SCROLL,CRYSTAL,CROWN
POTION,SCROLL,CRYSTAL,CROWN,POTION
SCROLL,CRYSTAL,CROWN,POTION,SCROLL
CRYSTAL,CROWN,POTION,SCROLL,CRYSTAL
EMBER,CRYSTAL,POTION,SCROLL,EMBER
CRYSTAL,POTION,SCROLL,EMBER,CRYSTAL
POTION,SCROLL,EMBER,CRYSTAL,POTION
SCROLL,EMBER,CRYSTAL,POTION,SCROLL
DRAGON,GRIMOIRE,RUNE,WIZARD,STAFF
GRIMOIRE,RUNE,WIZARD,STAFF,GRIMOIRE
RUNE,WIZARD,STAFF,GRIMOIRE,RUNE
WIZARD,STAFF,GRIMOIRE,RUNE,WIZARD
